TIME,METRIC VALUE
2.026796340942383,1.6456
5.12514066696167,1.4616
8.206406831741333,0.892
11.28707242012024,1.2735
14.375443458557129,1.6128
17.463210105895996,1.1943
20.53973698616028,1.121
23.62778353691101,1.4231
26.712465524673462,1.3847
29.793206691741943,0.6636
32.87193179130554,0.8171
35.94289708137512,0.5856
39.01330280303955,1.0506
42.08797764778137,0.9744
45.16607928276062,0.5865
48.28821659088135,0.6154
51.37123227119446,1.1191
54.458499908447266,1.5334
57.54842686653137,0.8117
60.630815267562866,1.2328
63.71582269668579,1.1577
66.81325912475586,1.1923
69.89832520484924,0.7769
72.99757766723633,0.9616
76.07097721099854,1.005
79.16119813919067,1.2672
82.25213122367859,0.8144
85.33200478553772,1.01
88.4075882434845,0.7782
91.48545145988464,0.5865
94.57095050811768,0.6205
97.68623566627502,1.6755
100.77874803543091,1.4926
103.87703156471252,1.4184
106.97231769561768,0.8861
110.07534551620483,0.9632
113.18121027946472,1.3395
116.30479788780212,1.3328
119.40253138542175,0.6981
122.50092959403992,0.9246
125.61100316047668,1.3056
128.6990509033203,0.9632
131.78642749786377,1.3462
134.87037897109985,1.0454
137.96244597434998,0.7731
141.03622245788574,0.7769
144.12060642242432,0.8532
147.20998883247375,0.8462
150.3116307258606,1.5283
153.40735840797424,1.265
156.50858330726624,1.2267
159.6264111995697,1.3372
162.71976566314697,0.8476
165.82781553268433,1.3754
168.9235281944275,0.8104
172.03920197486877,1.2629
175.1581416130066,1.335
178.25862765312195,0.8876
181.3425166606903,0.889
184.43653059005737,1.0805
187.52712559700012,1.1577
190.61296939849854,1.121
193.70257353782654,0.6205
196.82057523727417,1.3328
199.9340591430664,1.7136
203.02725481987,1.1884
206.16133952140808,1.4851
209.26311206817627,1.7136
212.3659565448761,1.1864
215.47599482536316,1.447
218.57608318328857,1.3731
221.6777822971344,1.2629
224.7810287475586,1.0
227.88692450523376,1.0752
230.9823498725891,0.8476
234.07284927368164,0.7731
237.177081823349,0.9262
240.28274607658386,0.7356
243.36748361587524,0.8518
246.50352454185486,1.3283
249.6173768043518,1.0716
252.73084020614624,1.335
255.860426902771,1.3012
259.02116107940674,0.995
262.1421275138855,0.8077
265.2766811847687,0.6549
268.38545536994934,1.4826
271.49011754989624,1.1844
274.6025378704071,1.0734
277.7049934864044,1.0752
280.8343126773834,1.108
283.92185497283936,0.9246
287.0098092556,0.6571
290.12993478775024,0.9262
293.2298631668091,0.6184
296.4000942707062,2.224
299.52454805374146,0.7692
302.68912959098816,1.1784
305.8380742073059,1.6698
308.9672408103943,1.0333
312.0970096588135,1.4421
315.22263288497925,0.8064
318.3324761390686,1.3305
321.46748399734497,0.8802
324.6158535480499,0.8817
327.74839973449707,0.995
330.8459322452545,1.0
333.95038294792175,1.0368
337.0664246082306,0.7332
340.1767337322235,0.6946
343.28168535232544,1.0
