TIME,METRIC VALUE
2.026796340942383,53.0
5.12514066696167,53.0
8.206406831741333,53.0
11.28707242012024,51.5
14.375443458557129,52.0
17.463210105895996,53.0
20.53973698616028,52.0
23.62778353691101,52.0
26.712465524673462,52.5
29.793206691741943,53.5
32.87193179130554,52.5
35.94289708137512,53.5
39.01330280303955,53.5
42.08797764778137,52.5
45.16607928276062,52.5
48.28821659088135,53.0
51.37123227119446,53.5
54.458499908447266,53.0
57.54842686653137,54.5
60.630815267562866,53.5
63.71582269668579,53.0
66.81325912475586,53.5
69.89832520484924,54.0
72.99757766723633,53.5
76.07097721099854,54.0
79.16119813919067,54.0
82.25213122367859,54.5
85.33200478553772,53.5
88.4075882434845,54.0
91.48545145988464,54.0
94.57095050811768,54.5
97.68623566627502,54.0
100.77874803543091,54.5
103.87703156471252,55.0
106.97231769561768,54.5
110.07534551620483,54.5
113.18121027946472,55.0
116.30479788780212,55.5
119.40253138542175,56.0
122.50092959403992,55.5
125.61100316047668,55.5
128.6990509033203,55.5
131.78642749786377,55.5
134.87037897109985,56.5
137.96244597434998,56.5
141.03622245788574,56.0
144.12060642242432,55.5
147.20998883247375,55.5
150.3116307258606,57.0
153.40735840797424,56.0
156.50858330726624,57.0
159.6264111995697,56.5
162.71976566314697,56.5
165.82781553268433,56.5
168.9235281944275,57.0
172.03920197486877,57.5
175.1581416130066,56.5
178.25862765312195,57.5
181.3425166606903,57.5
184.43653059005737,57.0
187.52712559700012,57.0
190.61296939849854,57.0
193.70257353782654,57.0
196.82057523727417,57.0
199.9340591430664,57.5
203.02725481987,58.0
206.16133952140808,57.5
209.26311206817627,57.0
212.3659565448761,58.5
215.47599482536316,58.5
218.57608318328857,57.5
221.6777822971344,58.5
224.7810287475586,59.0
227.88692450523376,59.0
230.9823498725891,58.5
234.07284927368164,57.5
237.177081823349,58.5
240.28274607658386,58.5
243.36748361587524,59.0
246.50352454185486,58.0
249.6173768043518,58.5
252.73084020614624,59.0
255.860426902771,58.5
259.02116107940674,58.0
262.1421275138855,60.0
265.2766811847687,59.0
268.38545536994934,59.0
271.49011754989624,60.0
274.6025378704071,60.0
277.7049934864044,59.5
280.8343126773834,59.5
283.92185497283936,60.0
287.0098092556,60.0
290.12993478775024,59.5
293.2298631668091,60.0
296.4000942707062,60.0
299.52454805374146,60.5
302.68912959098816,61.0
305.8380742073059,61.0
308.9672408103943,60.5
312.0970096588135,61.0
315.22263288497925,61.0
318.3324761390686,61.0
321.46748399734497,60.5
324.6158535480499,60.5
327.74839973449707,61.0
330.8459322452545,61.5
333.95038294792175,61.0
337.0664246082306,60.5
340.1767337322235,61.5
343.28168535232544,61.5
346.5361626148224,61.5
349.67715787887573,62.0
352.79791474342346,61.5
355.90516924858093,62.0
359.0184600353241,62.5
362.16539788246155,61.5
365.3239414691925,62.0
368.53962421417236,62.5
371.66636204719543,62.0
374.7794089317322,62.0
377.89602851867676,62.5
381.005339384079,63.0
384.1405713558197,63.5
387.2482907772064,62.5
390.4273159503937,62.0
393.5526728630066,63.0
396.7826609611511,63.5
399.93414068222046,63.5
403.09680938720703,63.5
406.25441098213196,63.5
409.3969395160675,63.5
412.5625400543213,63.0
415.7039158344269,63.0
418.87529277801514,64.0
422.01005029678345,63.5
425.2038290500641,64.0
428.3455924987793,64.0
431.4600639343262,63.5
434.6336045265198,63.0
437.73506808280945,63.5
440.8634264469147,63.5
444.0667254924774,64.0
447.24015760421753,65.0
450.38630986213684,64.5
453.52859711647034,64.0
456.84896206855774,64.0
459.9981622695923,64.5
463.16093707084656,64.5
466.3223214149475,64.5
469.51986050605774,65.0
472.6701536178589,64.0
475.8218557834625,65.0
478.9709985256195,65.0
482.1244068145752,65.0
485.2529833316803,64.5
488.3653507232666,65.0
491.51801228523254,64.5
494.743093252182,64.5
497.9018392562866,65.5
501.08217549324036,65.5
504.30586290359497,65.0
507.4903995990753,66.0
510.6615824699402,66.0
513.8539218902588,66.0
517.0533344745636,66.5
520.2156898975372,65.5
523.3962235450745,66.5
526.5544474124908,65.5
529.7115013599396,66.0
532.857617855072,66.5
535.9894864559174,66.0
539.1562774181366,66.0
542.2977628707886,65.5
545.4725003242493,66.0
548.6645872592926,67.0
551.8566658496857,66.0
555.0813374519348,66.5
558.3096451759338,67.0
561.4776618480682,67.0
564.6697311401367,67.0
567.8666899204254,66.5
571.0232353210449,67.0
574.198422908783,66.5
577.4659836292267,67.0
580.6376919746399,66.5
583.7795460224152,66.5
586.9350426197052,67.5
590.1394548416138,67.5
593.2913298606873,68.0
596.5222036838531,67.5
599.8780224323273,68.0
603.0497009754181,67.0
606.2370057106018,67.0
609.4579644203186,67.5
612.7213275432587,67.5
615.8907339572906,67.5
619.0777597427368,67.5
622.2613034248352,68.0
625.4835479259491,68.5
628.6794219017029,67.0
631.8247113227844,68.5
634.9745194911957,67.5
638.1511266231537,68.0
641.3177781105042,68.5
644.4799494743347,68.0
647.7705554962158,68.0
651.0048515796661,69.0
654.3563811779022,69.0
657.5486011505127,69.5
660.7763645648956,69.0
664.0187485218048,68.5
667.3380517959595,69.0
670.5864911079407,68.5
673.8169476985931,68.5
677.0542974472046,68.5
680.2562143802643,68.5
683.4607071876526,69.0
686.6679146289825,68.5
689.8560583591461,69.0
693.0056259632111,69.0
696.1852884292603,69.0
699.4355609416962,69.0
702.6898806095123,69.5
705.8915555477142,70.5
709.2152824401855,69.0
712.4429490566254,70.0
715.6638371944427,69.0
718.8983767032623,70.0
722.2121756076813,69.0
725.4333872795105,70.0
728.6562936306,70.5
732.0033345222473,69.0
735.156982421875,69.5
738.3699281215668,69.5
741.5607264041901,70.0
744.7966084480286,70.0
747.9862580299377,69.5
751.257746219635,70.5
754.5108978748322,70.5
757.7824630737305,70.5
761.0351231098175,70.5
764.3754000663757,70.5
767.6772639751434,70.5
770.8899600505829,70.5
774.133941411972,70.0
777.3844599723816,70.0
780.5988199710846,70.0
783.8456816673279,71.0
787.0707788467407,70.0
790.3228664398193,70.0
793.5116076469421,71.0
796.6931161880493,71.0
799.9843554496765,70.0
803.408077955246,70.5
806.7046113014221,70.5
810.0206866264343,71.5
813.2952721118927,72.0
816.5351903438568,71.0
819.8318710327148,71.5
823.0840003490448,71.5
826.343061208725,72.0
829.5586433410645,71.5
832.8526544570923,72.0
836.0818607807159,72.0
839.3176229000092,71.5
842.5358135700226,71.5
845.7507870197296,71.5
848.9699172973633,71.5
852.2972345352173,71.0
855.6314835548401,71.0
858.9172205924988,72.0
862.2352523803711,71.5
865.6267256736755,72.0
869.0210750102997,71.5
872.3159921169281,72.0
875.6695821285248,72.5
878.9376683235168,72.0
882.1781101226807,72.0
885.5802550315857,72.0
888.866468667984,72.0
892.1603467464447,71.5
895.4400928020477,72.5
898.7123823165894,71.5
901.9843780994415,71.5
905.2337503433228,71.5
908.6330795288086,71.5
912.0071828365326,73.0
915.2934622764587,72.0
918.7316236495972,72.5
921.9969718456268,72.5
925.2818989753723,72.5
928.6044838428497,72.5
931.9531667232513,72.5
935.2487914562225,72.0
938.541759967804,73.0
941.7722821235657,72.0
945.0557527542114,72.0
948.3021688461304,72.5
951.6477589607239,72.0
954.8883476257324,73.0
958.1589393615723,72.0
961.4093430042267,73.0
964.8571031093597,72.5
968.1807398796082,73.0
971.5432541370392,72.0
974.8218312263489,72.5
978.1789751052856,72.5
981.5446002483368,73.0
984.9656081199646,73.0
988.3654036521912,73.0
991.6211001873016,72.5
994.9452931880951,73.0
998.2507271766663,73.5
1001.610681772232,72.5
1004.8444318771362,72.5
1008.1230812072754,73.0
1011.5069735050201,73.0
1014.8876824378967,73.5
1018.3787500858307,73.5
1021.9318571090698,73.5
1025.3328289985657,73.0
1028.7590312957764,73.0
1032.191879749298,72.5
1035.6424334049225,73.0
1038.9534513950348,73.0
1042.323989868164,73.0
1045.59712600708,73.5
1048.9125134944916,73.5
1052.2912616729736,74.0
1055.6111357212067,73.0
1059.0323481559753,73.0
1062.2879247665405,73.5
1065.5457737445831,73.5
1068.875815629959,72.5
1072.4706861972809,73.5
1075.8585176467896,73.0
1079.3064496517181,73.5
1082.7068102359772,73.5
1086.3432607650757,73.0
1089.7446143627167,73.5
1093.1012544631958,74.5
1096.5176846981049,73.0
1099.926864862442,74.0
1103.21439909935,73.0
1106.6217288970947,73.5
1109.8597948551178,74.0
1113.1224830150604,74.0
1116.6013901233673,74.5
1119.838770866394,73.5
1123.383618593216,73.5
1126.8606007099152,74.0
1130.219910144806,75.0
1133.6574964523315,73.5
1137.0582888126373,73.5
1140.645093679428,74.0
1144.055435180664,73.5
1147.4017980098724,74.0
1150.770018339157,74.0
1154.2005414962769,74.5
1157.704561471939,73.5
1161.0610687732697,74.5
1164.3934276103973,74.0
1167.8243725299835,74.0
1171.283672094345,74.5
1174.7443959712982,74.0
1178.2850995063782,74.0
1181.751179933548,74.5
1185.2874789237976,74.0
1188.8603987693787,75.0
1192.303025007248,74.5
1195.7204937934875,74.5
1199.0184252262115,74.5
1202.486871957779,75.0
1205.988493680954,74.0
1209.3463561534882,74.5
1212.7938630580902,75.0
1216.1358647346497,74.0
1219.735190629959,73.5
1223.0278041362762,74.5
1226.623076915741,74.0
1230.014370918274,74.0
1233.6520776748657,73.5
1237.1362023353577,75.5
1240.6327748298645,74.5
1244.1222383975983,74.0
1247.8182218074799,74.5
1251.5882868766785,75.0
1255.0430552959442,74.5
1258.4445328712463,74.0
1261.9700486660004,74.5
1265.609837770462,74.5
1269.069175004959,74.5
1272.6625843048096,74.0
1276.2497391700745,74.5
1279.6492471694946,74.5
1282.9846291542053,74.5
1286.4502708911896,74.5
1289.859782218933,75.5
1293.3245930671692,74.5
1297.0451490879059,75.0
1300.5980751514435,74.5
1304.1281561851501,74.5
1307.710552930832,74.5
1311.4462976455688,74.5
1315.1656119823456,75.0
1318.4320192337036,74.0
1321.8052480220795,74.5
1325.491156578064,74.5
1328.8483865261078,74.0
1332.1148340702057,74.0
1335.5171597003937,74.0
1339.1766426563263,74.0
1342.6153450012207,74.5
1346.2471525669098,74.5
1349.7879238128662,74.0
1353.7502045631409,74.0
1357.276517868042,75.0
1361.2711839675903,74.5
1365.172608613968,75.0
1368.772165775299,74.5
1372.45907330513,75.0
1376.5432891845703,75.0
1379.9394752979279,74.5
1383.4389700889587,74.5
1386.9213976860046,74.0
1390.7350549697876,75.0
1394.4205350875854,73.5
1397.999989271164,74.5
1402.2360565662384,75.0
1406.252150297165,75.0
1410.0044374465942,74.5
1413.7099335193634,75.5
1417.5811400413513,75.0
1421.6667363643646,75.0
1425.6328155994415,74.5
1429.1184012889862,75.0
1432.6634254455566,75.0
1436.302233695984,74.5
1439.9017925262451,74.5
1443.5047616958618,75.0
1447.693383216858,74.5
1451.3347573280334,75.5
1455.046840429306,75.5
1458.4821243286133,74.5
1462.439211845398,76.0
1466.2454624176025,75.5
1469.8544991016388,75.5
1473.5211544036865,75.5
1477.0581057071686,75.5
1480.742646932602,76.0
1484.3423037528992,75.5
1487.7395374774933,75.0
1491.4320454597473,75.5
1494.8500444889069,75.5
1498.2418603897095,75.5
1502.4402301311493,75.0
1506.200557231903,75.0
1509.7741820812225,75.0
1514.0061831474304,75.0
1517.686805009842,76.0
1521.4252216815948,75.0
1525.4611575603485,74.5
1529.856815814972,75.0
1533.6951978206635,75.5
1537.4552657604218,75.5
1541.2652728557587,75.5
1544.6598055362701,74.5
1548.3388845920563,75.5
1552.2634665966034,74.5
1555.8081331253052,75.5
1559.572588443756,76.0
1563.256931066513,76.0
1566.9986758232117,75.0
1570.8364615440369,75.5
1574.9026844501495,75.0
1578.7117381095886,75.0
1582.75594830513,75.5
1586.447338104248,75.0
1590.125278711319,76.0
1594.1638209819794,75.0
1597.715357542038,76.0
1601.5289750099182,75.0
1605.209384918213,75.0
1608.6609501838684,74.5
1612.773875951767,75.0
1616.421309709549,76.0
1620.0189685821533,75.5
1624.0153822898865,75.0
1627.4806215763092,75.5
1632.0216274261475,75.0
1636.7218127250671,75.5
1641.0076653957367,76.0
1645.46249461174,75.5
1649.961021900177,76.0
1653.8402862548828,75.0
1657.5573494434357,75.0
